1h53m0s,41d32m0s
2h0m0s,46d21m0s
2h9m0s,51d9m0s
2h19m0s,55d54m0s
2h33m0s,60d34m0s
2h51m0s,65d8m0s
3h16m0s,69d30m0s
3h54m0s,73d31m0s
4h52m0s,76d52m0s
6h21m0s,78d56m0s
8h6m0s,78d57m0s
9h34m0s,76d55m0s
10h33m0s,73d35m0s
11h11m0s,69d34m0s
11h37m0s,5d13m0s
1h36m0s,11d29m0s
1h42m0s,16d18m0s
1h48m0s,21d6m0s
1h54m0s,25d54m0s
2h1m0s,30d40m0s
2h8m0s,35d25m0s
2h16m0s,40d8m0s
2h26m0s,44d49m0s
2h37m0s,49d25m0s
2h51m0s,53d57m0s
3h8m0s,58d22m0s
3h30m0s,62d36m0s
3h58m0s,66d33m0s
4h37m0s,70d3m0s
5h30m0s,72d50m0s
6h37m0s,74d30m0s
7h52m0s,74d41m0s
9h3m0s,73d20m0s
9h59m0s,70d46m0s
10h40m0s,67d24m0s
11h11m0s,63d33m0s
1h49m0s,10d30m0s
1h56m0s,15d12m0s
2h3m0s,19d53m0s
2h11m0s,24d33m0s
2h19m0s,29d10m0s
2h28m0s,33d46m0s
2h39m0s,38d19m0s
2h51m0s,42d49m0s
3h4m0s,47d13m0s
3h20m0s,51d30m0s
3h39m0s,55d37m0s
4h2m0s,59d31m0s
4h31m0s,63d5m0s
5h9m0s,66d10m0s
5h54m0s,68d35m0s
6h48m0s,70d3m0s
7h48m0s,70d22m0s
8h45m0s,69d30m0s
9h36m0s,67d33m0s
10h17m0s,64d48m0s
10h50m0s,61d28m0s
2h1m0s,9d18m0s
2h9m0s,13d51m0s
2h18m0s,8d23m0s
2h27m0s,22d53m0s
2h37m0s,27d21m0s
2h48m0s,31d46m0s
3h0m0s,36d8m0s
3h13m0s,40d25m0s
3h28m0s,44d35m0s
3h45m0s,48d37m0s
4h6m0s,52d28m0s
4h29m0s,56d3m0s
4h58m0s,59d18m0s
5h32m0s,62d4m0s
6h12m0s,64d14m0s
6h57m0s,65d36m0s
7h46m0s,66d3m0s
8h34m0s,65d31m0s
9h19m0s,64d5m0s
9h59m0s,61d52m0s
10h33m0s,59d3m0s
2h12m0s,7d52m0s
2h22m0s,12d15m0s
2h32m0s,16d37m0s
2h43m0s,20d57m0s
2h54m0s,25d14m0s
3h6m0s,29d28m0s
3h19m0s,33d37m0s
3h33m0s,37d41m0s
3h49m0s,41d37m0s
4h7m0s,45d24m0s
4h28m0s,48d59m0s
4h52m0s,52d18m0s
5h19m0s,55d17m0s
5h50m0s,57d49m0s
6h25m0s,59d49m0s
7h5m0s,61d9m0s
7h46m0s,61d43m0s
8h28m0s,61d29m0s
9h9m0s,60d28m0s
9h46m0s,58d44m0s
10h19m0s,56d25m0s
2h24m0s,0d14m0s
2h34m0s,10d26m0s
2h46m0s,14d36m0s
2h58m0s,18d45m0s
3h10m0s,22d50m0s
3h23m0s,26d52m0s
3h37m0s,30d48m0s
3h52m0s,34d39m0s
4h9m0s,38d22m0s
4h27m0s,41d55m0s
4h48m0s,45d16m0s
5h11m0s,48d22m0s
5h37m0s,51d7m0s
6h6m0s,53d30m0s
6h37m0s,55d23m0s
7h12m0s,56d42m0s
7h48m0s,57d24m0s
8h25m0s,57d24m0s
9h2m0s,56d45m0s
9h37m0s,55d27m0s
10h9m0s,53d34m0s
2h34m0s,4d24m0s
2h46m0s,8d24m0s
2h58m0s,12d22m0s
3h12m0s,16d18m0s
3h25m0s,20d12m0s
3h39m0s,24d1m0s
3h53m0s,27d45m0s
4h9m0s,31d23m0s
4h26m0s,34d53m0s
4h45m0s,38d13m0s
5h5m0s,41d22m0s
5h27m0s,44d16m0s
5h52m0s,46d52m0s
6h18m0s,49d7m0s
6h48m0s,50d56m0s
7h18m0s,52d16m0s
7h51m0s,53d5m0s
8h24m0s,53d19m0s
8h58m0s,52d58m0s
9h30m0s,52d3m0s
10h1m0s,50d36m0s
2h44m0s,2d23m0s
2h57m0s,0d10m0s
3h10m0s,9d55m0s
3h24m0s,13d39m0s
3h39m0s,17d20m0s
3h53m0s,20d57m0s
4h8m0s,24d28m0s
4h25m0s,27d54m0s
4h42m0s,31d13m0s
5h0m0s,34d22m0s
5h20m0s,37d19m0s
5h42m0s,40d4m0s
6h5m0s,42d32m0s
6h30m0s,44d41m0s
6h57m0s,46d29m0s
7h25m0s,47d52m0s
7h54m0s,48d47m0s
8h25m0s,49d13m0s
8h55m0s,49d9m0s
9h25m0s,48d35m0s
9h55m0s,47d32m0s
2h54m0s,0d12m0s
3h7m0s,3d45m0s
3h22m0s,7d18m0s
3h36m0s,10d49m0s
3h51m0s,14d16m0s
4h6m0s,17d41m0s
4h22m0s,21d1m0s
4h39m0s,24d16m0s
4h56m0s,27d23m0s
5h15m0s,30d22m0s
5h34m0s,33d10m0s
5h55m0s,35d46m0s
6h16m0s,38d9m0s
6h40m0s,40d15m0s
7h5m0s,42d2m0s
7h31m0s,43d28m0s
7h58m0s,44d30m0s
8h26m0s,45d8m0s
8h54m0s,45d19m0s
9h23m0s,45d5m0s
9h51m0s,44d24m0s
3h3m0s,-2d6m0s
3h3m0s,-2d6m0s
3h33m0s,4d30m0s
3h48m0s,7d48m0s
4h3m0s,11d3m0s
4h19m0s,14d16m0s
4h35m0s,17d24m0s
4h52m0s,20d28m0s
5h9m0s,23d25m0s
5h27m0s,26d15m0s
5h46m0s,28d56m0s
6h6m0s,31d26m0s
6h27m0s,33d44m0s
6h49m0s,35d48m0s
7h13m0s,37d35m0s
7h37m0s,39d5m0s
8h3m0s,40d15m0s
8h28m0s,41d4m0s
8h55m0s,41d30m0s
9h22m0s,41d33m0s
9h48m0s,41d13m0s
3h10m0s,-4d35m0s
3h27m0s,1d30m0s
3h42m0s,1d33m0s
3h58m0s,4d38m0s
4h14m0s,10d41m0s
4h30m0s,10d42m0s
4h46m0s,13d40m0s
5h4m0s,16d33m0s
5h21m0s,19d22m0s
5h39m0s,22d3m0s
5h58m0s,24d37m0s
6h17m0s,27d3m0s
6h37m0s,29d18m0s
6h58m0s,31d21m0s
7h21m0s,33d10m0s
7h43m0s,34d43m0s
8h7m0s,36d1m0s
8h31m0s,37d0m0s
8h57m0s,37d40m0s
9h22m0s,38d1m0s
9h47m0s,38d1m0s
3h18m0s,-7d10m0s
3h35m0s,-4d21m0s
3h51m0s,-1d30m0s
4h8m0s,1d20m0s
4h24m0s,0d11m0s
4h41m0s,7d1m0s
4h58m0s,10d48m0s
5h15m0s,12d33m0s
5h32m0s,15d13m0s
5h50m0s,17d48m0s
6h8m0s,20d16m0s
6h27m0s,22d38m0s
6h47m0s,24d51m0s
7h7m0s,26d54m0s
7h28m0s,28d45m0s
7h50m0s,30d24m0s
8h12m0s,31d49m0s
8h35m0s,32d59m0s
8h59m0s,33d53m0s
9h23m0s,34d29m0s
9h47m0s,34d48m0s
3h25m0s,-9d54m0s
3h43m0s,-7d19m0s
4h0m0s,-4d42m0s
4h17m0s,-2d4m0s
4h34m0s,0d34m0s
4h51m0s,3d13m0s
5h8m0s,5d51m0s
5h25m0s,8d27m0s
5h42m0s,11d0m0s
6h0m0s,13d28m0s
6h18m0s,15d53m0s
6h37m0s,18d12m0s
6h56m0s,20d24m0s
7h15m0s,22d27m0s
7h36m0s,24d22m0s
7h57m0s,26d6m0s
8h18m0s,27d39m0s
8h40m0s,29d0m0s
9h2m0s,30d6m0s
9h25m0s,30d59m0s
9h48m0s,31d36m0s
3h31m0s,-12d42m0s
3h49m0s,-10d24m0s
4h7m0s,-8d1m0s
4h25m0s,-5d36m0s
4h43m0s,-3d8m0s
5h0m0s,-0d39m0s
5h18m0s,0d48m0s
5h35m0s,4d16m0s
5h52m0s,6d43m0s
6h10m0s,9d7m0s
6h28m0s,11d28m0s
6h46m0s,13d45m0s
7h5m0s,15d57m0s
7h24m0s,18d2m0s
7h43m0s,20d0m0s
8h3m0s,21d51m0s
8h24m0s,23d32m0s
8h45m0s,25d3m0s
9h6m0s,26d22m0s
9h28m0s,27d30m0s
9h50m0s,28d24m0s
3h37m0s,-15d37m0s
3h56m0s,-13d33m0s
4h15m0s,-11d25m0s
4h33m0s,-9d13m0s
4h51m0s,-6d57m0s
5h9m0s,-4d38m0s
5h27m0s,-2d18m0s
5h44m0s,0d2m0s
6h2m0s,2d23m0s
6h19m0s,4d43m0s
6h37m0s,0d1m0s
6h55m0s,9d18m0s
7h13m0s,11d30m0s
7h32m0s,13d38m0s
7h51m0s,15d41m0s
8h10m0s,17d37m0s
8h30m0s,19d27m0s
8h50m0s,21d9m0s
9h10m0s,22d41m0s
9h31m0s,24d4m0s
9h53m0s,25d15m0s
3h42m0s,-18d36m0s
4h2m0s,-16d48m0s
4h21m0s,-14d54m0s
4h40m0s,-12d55m0s
4h58m0s,-10d49m0s
5h17m0s,-8d41m0s
5h35m0s,-6d28m0s
5h53m0s,-4d14m0s
6h11m0s,-1d58m0s
6h28m0s,0d18m0s
6h46m0s,2d34m0s
7h4m0s,4d51m0s
7h22m0s,7d4m0s
7h40m0s,9d16m0s
7h59m0s,11d24m0s
8h18m0s,13d27m0s
8h36m0s,15d26m0s
8h56m0s,17d18m0s
9h16m0s,19d3m0s
9h36m0s,20d40m0s
9h56m0s,22d8m0s
3h46m0s,-21d39m0s
4h7m0s,-20d7m0s
4h27m0s,-18d28m0s
4h46m0s,-16d41m0s
5h6m0s,-14d47m0s
5h25m0s,-12d47m0s
5h43m0s,-10d42m0s
6h1m0s,-8d34m0s
6h20m0s,-6d22m0s
6h37m0s,-4d7m0s
6h55m0s,-1d51m0s
7h13m0s,0d24m0s
7h31m0s,2d40m0s
7h49m0s,4d55m0s
8h7m0s,7d9m0s
8h25m0s,9d20m0s
8h43m0s,11d28m0s
9h3m0s,13d31m0s
9h21m0s,15d28m0s
9h40m0s,17d20m0s
10h0m0s,19d5m0s
3h50m0s,-24d45m0s
4h12m0s,-23d30m0s
4h32m0s,-22d6m0s
4h52m0s,-20d31m0s
5h13m0s,-18d48m0s
5h32m0s,-16d57m0s
5h51m0s,-14d59m0s
6h10m0s,-12d55m0s
6h28m0s,-10d47m0s
6h46m0s,-8d34m0s
7h4m0s,-6d18m0s
7h22m0s,-4d0m0s
7h40m0s,-1d40m0s
7h58m0s,0d38m0s
8h16m0s,2d58m0s
8h33m0s,5d17m0s
8h51m0s,7d34m0s
9h9m0s,9d48m0s
9h28m0s,11d58m0s
9h46m0s,14d4m0s
10h6m0s,16d5m0s
3h53m0s,27d54m0s
4h15m0s,-26d57m0s
4h37m0s,-25d46m0s
4h58m0s,-24d25m0s
5h19m0s,-22d52m0s
5h39m0s,-21d10m0s
5h59m0s,-19d18m0s
6h18m0s,-17d19m0s
6h37m0s,-15d13m0s
6h56m0s,-13d1m0s
7h14m0s,-10d45m0s
7h32m0s,-8d24m0s
7h49m0s,-6d1m0s
8h7m0s,-3d35m0s
8h25m0s,-1d8m0s
8h42m0s,1d18m0s
9h0m0s,3d45m0s
9h17m0s,6d10m0s
9h35m0s,8d33m0s
9h52m0s,10d54m0s
10h11m0s,13d10m0s
3h55m0s,-31d4m0s
4h18m0s,-30d25m0s
4h41m0s,-29d30m0s
5h3m0s,-28d21m0s
5h25m0s,-26d59m0s
5h46m0s,-25d25m0s
6h7m0s,-23d40m0s
6h27m0s,-21d44m0s
6h46m0s,-19d40m0s
7h5m0s,-17d28m0s
7h24m0s,-15d10m0s
7h42m0s,-12d46m0s
8h0m0s,-10d18m0s
8h17m0s,-7d46m0s
8h34m0s,-5d12m0s
8h51m0s,-2d35m0s
9h8m0s,0d0m0s
9h25m0s,2d37m0s
9h42m0s,5d14m0s
10h0m0s,7d48m0s
10h17m0s,10d21m0s
3h56m0s,-34d17m0s
4h21m0s,-33d55m0s
4h44m0s,-33d16m0s
5h7m0s,-32d20m0s
5h30m0s,-31d9m0s
5h52m0s,-29d42m0s
6h14m0s,-28d3m0s
6h35m0s,-26d10m0s
6h55m0s,-24d7m0s
7h15m0s,-21d55m0s
7h34m0s,-19d34m0s
7h52m0s,-17d6m0s
8h10m0s,-14d32m0s
8h27m0s,-11d53m0s
8h44m0s,-9d10m0s
9h1m0s,-6d24m0s
9h18m0s,-3d36m0s
9h34m0s,-0d47m0s
9h51m0s,2d1m0s
10h7m0s,4d49m0s
10h24m0s,7d37m0s
3h57m0s,-37d30m0s
4h22m0s,-37d27m0s
4h46m0s,-37d4m0s
5h12m0s,-36d21m0s
5h36m0s,-35d20m0s
5h59m0s,-34d1m0s
6h22m0s,-32d27m0s
6h43m0s,-30d37m0s
7h4m0s,-28d34m0s
7h25m0s,-26d20m0s
7h44m0s,-23d55m0s
8h3m0s,-21d22m0s
8h21m0s,-18d4m0s
8h38m0s,-15d55m0s
8h55m0s,-13d3m0s
9h12m0s,-10d7m0s
9h28m0s,-7d7m0s
9h44m0s,-4d6m0s
10h0m0s,1d4m0s
10h16m0s,1d57m0s
10h31m0s,5d0m0s
